sütun,aykırı_adet,aykırı_%,alt_sınır,üst_sınır,min,max
unlock_duration_hr_9,1316,0.609,-2441.91,3255.88,0.0,3600.0
unlock_num_hr_10,1233,0.571,-17.0,25.0,0.0,120.0
unlock_duration_ep_0,1164,0.539,-17043.0,39659.58,0.0,81767.75
unlock_num_hr_9,1148,0.531,-18.0,24.0,0.0,134.0
act_on_foot_ep_2,132,0.526,-6633.0,9264.0,0.0,32400.0
act_on_foot_ep_0,128,0.51,-10575.0,15255.0,0.0,84807.0
unlock_num_hr_18,1017,0.471,-19.0,30.0,0.0,178.0
unlock_duration_ep_2,872,0.404,-10592.73,21660.39,0.0,32397.36
unlock_num_hr_11,814,0.377,-20.0,29.0,0.0,154.0
unlock_duration_ep_3,730,0.338,-8846.11,16431.12,0.0,21600.0
act_walking_ep_3,722,0.334,-10469.0,16383.0,0.0,21600.0
other_playing_duration_ep_2,575,0.301,-18105.0,26940.0,0.0,32400.0
act_still_ep_3,624,0.289,1738.0,33056.0,0.0,21600.0
act_still_ep_2,553,0.256,3285.0,47329.0,0.0,32400.0
audio_amp_std_ep_3,111,0.211,-41860.03,57024.7,0.0,100607.54
act_still_ep_0,447,0.207,36546.0,109668.0,52.0,86400.0
act_walking_ep_2,443,0.205,-13374.0,22879.0,0.0,32400.0
audio_amp_std_ep_0,99,0.185,-42425.39,58183.52,0.0,85735.36
act_walking_ep_0,261,0.121,-22322.0,40916.0,0.0,86315.0
audio_amp_std_ep_2,56,0.106,-38353.92,52570.05,0.0,151043.25
loc_visit_num_ep_1,116,0.069,-2.0,5.0,0.0,10.0
loc_food_audio_amp,9,0.056,-78596.66,107610.78,0.0,189798.03
other_playing_num_ep_3,53,0.028,-5.0,9.0,0.0,11.0
other_playing_num_ep_1,53,0.028,-6.0,8.0,0.0,15.0
other_playing_num_ep_0,8,0.004,-12.0,23.0,0.0,26.0
loc_visit_num_ep_3,5,0.003,-5.0,9.0,0.0,11.0
