asama,sutun
hourly,other_playing_duration_hr_14
hourly,other_playing_duration_hr_15
hourly,other_playing_duration_hr_16
hourly,other_playing_duration_hr_17
hourly,other_playing_duration_hr_18
hourly,other_playing_duration_hr_19
hourly,other_playing_duration_hr_2
hourly,other_playing_duration_hr_20
hourly,other_playing_duration_hr_21
hourly,other_playing_duration_hr_22
hourly,other_playing_duration_hr_23
hourly,other_playing_duration_hr_3
hourly,other_playing_duration_hr_4
hourly,other_playing_duration_hr_5
hourly,other_playing_duration_hr_6
hourly,other_playing_duration_hr_7
hourly,other_playing_duration_hr_8
hourly,other_playing_duration_hr_9
hourly,other_playing_num_hr_0
hourly,other_playing_num_hr_1
hourly,other_playing_num_hr_10
hourly,other_playing_num_hr_11
hourly,other_playing_num_hr_12
hourly,other_playing_num_hr_13
hourly,other_playing_num_hr_14
hourly,other_playing_num_hr_15
hourly,other_playing_num_hr_16
hourly,other_playing_num_hr_17
hourly,other_playing_num_hr_18
hourly,other_playing_num_hr_19
hourly,other_playing_num_hr_2
hourly,other_playing_num_hr_20
hourly,other_playing_num_hr_21
hourly,other_playing_num_hr_22
hourly,other_playing_num_hr_23
hourly,other_playing_num_hr_3
hourly,other_playing_num_hr_4
hourly,other_playing_num_hr_5
hourly,other_playing_num_hr_6
hourly,other_playing_num_hr_7
hourly,other_playing_num_hr_8
hourly,other_playing_num_hr_9
hourly,unlock_duration_hr_0
hourly,unlock_duration_hr_1
hourly,unlock_duration_hr_10
hourly,unlock_duration_hr_11
hourly,unlock_duration_hr_12
hourly,unlock_duration_hr_13
hourly,unlock_duration_hr_14
hourly,unlock_duration_hr_15
hourly,unlock_duration_hr_16
hourly,unlock_duration_hr_17
hourly,unlock_duration_hr_18
hourly,unlock_duration_hr_19
hourly,unlock_duration_hr_2
hourly,unlock_duration_hr_20
hourly,unlock_duration_hr_21
hourly,unlock_duration_hr_22
hourly,unlock_duration_hr_23
hourly,unlock_duration_hr_3
hourly,unlock_duration_hr_4
hourly,unlock_duration_hr_5
hourly,unlock_duration_hr_6
hourly,unlock_duration_hr_7
hourly,unlock_duration_hr_8
hourly,unlock_duration_hr_9
hourly,unlock_num_hr_0
hourly,unlock_num_hr_1
hourly,unlock_num_hr_10
hourly,unlock_num_hr_11
hourly,unlock_num_hr_12
hourly,unlock_num_hr_13
hourly,unlock_num_hr_14
hourly,unlock_num_hr_15
hourly,unlock_num_hr_16
hourly,unlock_num_hr_17
hourly,unlock_num_hr_18
hourly,unlock_num_hr_19
hourly,unlock_num_hr_2
hourly,unlock_num_hr_20
hourly,unlock_num_hr_21
hourly,unlock_num_hr_22
hourly,unlock_num_hr_23
hourly,unlock_num_hr_3
hourly,unlock_num_hr_4
hourly,unlock_num_hr_5
hourly,unlock_num_hr_6
hourly,unlock_num_hr_7
hourly,unlock_num_hr_8
hourly,unlock_num_hr_9
near_zero_variance,act_on_bike_ep_1
near_zero_variance,call_in_duration_ep_1
near_zero_variance,call_in_duration_ep_3
near_zero_variance,call_in_num_ep_1
near_zero_variance,call_in_num_ep_3
near_zero_variance,call_miss_num_ep_0
near_zero_variance,call_miss_num_ep_1
near_zero_variance,call_miss_num_ep_2
near_zero_variance,call_miss_num_ep_3
near_zero_variance,call_out_duration_ep_1
near_zero_variance,call_out_duration_ep_3
near_zero_variance,call_out_num_ep_1
near_zero_variance,call_out_num_ep_3
near_zero_variance,loc_health_dur
near_zero_variance,loc_leisure_dur
near_zero_variance,loc_other_dorm_convo_duration
near_zero_variance,loc_other_dorm_convo_num
near_zero_variance,loc_social_audio_voice
near_zero_variance,loc_social_convo_duration
near_zero_variance,loc_social_convo_num
near_zero_variance,loc_worship_dur
