,count,mean,std,min,25%,50%,75%,max
loc_max_dis_from_campus_hr_11,153332.0,1106128.3763236327,2138016.3470655754,3.66259278077,313.85092739725,2115.9504529899996,1295310.168815,16190012.6552
loc_max_dis_from_campus_hr_12,152590.0,1105608.8323998319,2136735.2227557455,3.20122498498,302.06924743975003,2308.59534092,1295312.6994475,16191761.6077
loc_max_dis_from_campus_hr_13,151963.0,1107685.4533623918,2142114.539782731,3.20122498498,290.03903397399995,2956.55105249,1295312.81656,16200995.5498
loc_max_dis_from_campus_hr_14,151577.0,1103903.461082662,2137612.7381451107,3.16042887823,302.777171693,2474.179572,1294975.65261,16173829.7073
loc_max_dis_from_campus_hr_15,151238.0,1104703.8078007132,2137525.8293128726,2.94067093273,325.472936374,2470.065035355,1295312.089615,16200995.5498
loc_max_dis_from_campus_hr_16,151707.0,1109186.1219627464,2138360.533808675,3.20122498498,336.43687836000004,2311.27777564,1295315.557835,16200940.8998
loc_max_dis_from_campus_hr_17,153025.0,1122650.4897712965,2156957.6868774504,2.04076057447,337.057552836,2464.69548159,1310408.50291,16190013.2952
loc_max_dis_from_campus_hr_18,154345.0,1130729.887500033,2164171.95225449,7.45506364888,333.838037583,4595.89361122,1311354.25847,16191722.8251
loc_max_dis_from_campus_hr_19,155099.0,1141954.6256543873,2179664.501074919,9.65141843699,333.555620977,6126.91643991,1352116.498865,16191761.6077
loc_max_dis_from_campus_hr_2,157388.0,1148577.895656582,2181446.374206236,46.4990437343,358.5117454295,2148.5647105750004,1375488.18389,16190014.2516
loc_max_dis_from_campus_hr_20,156328.0,1143389.4719653914,2181042.2707212646,15.6434672653,342.938036185,5501.32444105,1375475.2191525,16191732.7128
loc_max_dis_from_campus_hr_21,157816.0,1148929.622076741,2194861.2826253376,5.50066115748,348.389710769,4469.413517375,1375484.98374,16191761.6077
loc_max_dis_from_campus_hr_22,158802.0,1149322.5328871855,2189359.3261075504,5.50066115748,349.10114079899995,2566.8093378949998,1375487.5584875,16190019.5041
loc_max_dis_from_campus_hr_23,158155.0,1154167.0281874253,2193181.681534949,5.50066115748,348.578725847,4082.97940705,1378867.43066,16190019.5041
loc_max_dis_from_campus_hr_3,156846.0,1146807.3374639072,2177663.528131769,47.1109683591,358.62586176775,2116.2658204850004,1375486.5069875,16190014.2516
loc_max_dis_from_campus_hr_4,156553.0,1142165.1991189872,2170811.075299171,47.1109683591,358.512717574,2108.39693637,1351736.96469,16190014.2516
loc_max_dis_from_campus_hr_5,156069.0,1141493.8147939602,2170132.1058708127,52.4389645993,358.695000743,2112.2183113,1351548.60467,16190013.3858
loc_max_dis_from_campus_hr_6,155877.0,1144012.8164649645,2179915.2726067808,52.4389645993,360.673082833,2109.89998597,1350677.38674,16190013.3858
loc_max_dis_from_campus_hr_7,155863.0,1145597.2679379708,2185100.305952877,26.3909017684,363.1134426315,2111.17619658,1350670.6513049998,16190013.3858
loc_max_dis_from_campus_hr_8,155508.0,1139420.7779453679,2175335.869095171,18.1903952787,361.173724384,2293.883981545,1310571.501365,16190012.6552
loc_max_dis_from_campus_hr_9,154685.0,1131499.9597867748,2166454.7239820003,4.54143803614,340.608220509,2331.76914134,1310411.14771,16190069.0688
loc_other_dorm_audio_amp,9027.0,7854.908966423685,12612.502263480013,0.0,418.5870119405,2332.50443975,10789.183876899999,225872.95539
loc_other_dorm_audio_voice,31852.0,0.05991766623306162,0.15424930394999137,0.0,0.0,0.0,0.00120058431238,1.0
loc_other_dorm_convo_duration,31852.0,2.9751546114798892,8.95612360985774,0.0,0.0,0.0,0.0,59.9292867705
loc_other_dorm_convo_num,31852.0,0.3228377588974283,0.8299801103102312,0.0,0.0,0.0,0.0,10.0
loc_other_dorm_dur,215213.0,0.5868948051220061,2.3023186567801543,0.0,0.0,0.0,0.0,24.0167566667
loc_other_dorm_still,31852.0,48.99473909771806,11.362737477572828,0.0,44.990295830499996,52.84,56.889421417175,60.0
loc_other_dorm_unlock_duration,31852.0,8.237676405053845,8.509999527279755,0.0,2.1317101528825,5.813521277335,11.609105006075,60.0
loc_other_dorm_unlock_num,31852.0,6.474105079572896,6.485439774141343,0.0,2.17226164135,4.741250642404999,8.61459315566,113.952519783
loc_self_dorm_audio_amp,19714.0,3919.1507695750665,9021.765694549533,0.0,261.8034310475,1229.3049809,4558.68236158,145300.666047
loc_self_dorm_audio_voice,65403.0,0.025415172080020348,0.07866249030010916,0.0,0.0,0.0,0.003004613799505,1.0
loc_self_dorm_convo_duration,65403.0,1.139209379224188,4.140437730957598,0.0,0.0,0.0,0.0,57.3522833598
loc_self_dorm_convo_num,65403.0,0.11286422278759752,0.330339633406032,0.0,0.0,0.0,0.0,6.0
loc_self_dorm_dur,215213.0,3.8839452992112884,6.5616568584063675,0.0,0.0,0.0,8.10861111111,24.1694444444
loc_self_dorm_still,65403.0,55.175749347350546,4.95100558387114,1.43209876543,53.88178771045,56.5355409516,58.1824230269,60.0
loc_self_dorm_unlock_duration,65403.0,8.199686416751607,6.461927754343662,0.0,3.860836231225,6.910137563,10.90226700995,60.0
loc_self_dorm_unlock_num,65403.0,3.436539221678514,3.17676179182604,0.0,1.56484319041,2.62458990783,4.34779980279,65.4464599945
loc_social_audio_amp,7354.0,12392.800936528936,16914.153260336065,0.0,676.12161053675,3508.298785225,20231.264357250002,144986.083799
loc_social_audio_voice,25350.0,0.08337851314471464,0.18755984229903952,0.0,0.0,0.0,0.014848367958875001,1.0
loc_social_convo_duration,25350.0,4.0065708037258405,10.456387368786793,0.0,0.0,0.0,0.0,59.9276707211
loc_social_convo_num,25350.0,0.42194672201793615,0.9475853760683187,0.0,0.0,0.0,0.0,12.0
